pH	SpConduct	DissOxy	RoadsPct	IndPct	UrbanPct	DevPct	WellClass	Aquifier	Depth	SafeYld	Distance	MTBE-Detect	MTBE	HouseDen	PopDen
7.87	290.00	0.58	1.34	0.00	17.77	17.77	Private	Bedrock	60.960	*	2386.29	Below Limit	0.20	131.16	43.19
8.63	225.90	0.84	0.72	0.00	10.43	10.43	Private	Bedrock	36.576	*	3667.69	Below Limit	0.20	47.69	24.52
7.11	157.40	8.37	1.92	0.00	29.62	50.01	Private	Bedrock	152.400	*	2324.15	Below Limit	0.20	85.16	33.32
7.98	723.60	0.41	2.76	0.00	41.65	41.65	Private	Bedrock	*	*	788.88	Below Limit	0.20	134.77	46.61
7.88	148.70	1.44	3.51	0.00	51.21	51.21	Private	Bedrock	91.440	*	1337.88	Below Limit	0.20	198.54	78.58
8.36	198.20	0.18	1.48	0.00	22.49	29.19	Private	Bedrock	115.824	*	2396.74	Below Limit	0.20	206.73	59.47
6.92	807.20	1.85	2.86	0.00	40.59	43.44	Private	Bedrock	92.964	*	1425.59	Detect	0.51	272.54	81.02
7.15	67.60	6.16	0.78	1.35	14.54	15.56	Private	Bedrock	85.344	*	2053.95	Below Limit	0.20	27.35	9.24
7.55	1077.00	3.93	1.50	0.00	16.79	16.79	Private	Bedrock	*	*	1672.33	Detect	1.32	86.89	26.61
6.25	320.10	7.14	3.60	0.00	61.17	64.18	Private	Bedrock	48.768	*	1374.62	Below Limit	0.20	919.12	331.90
6.81	381.30	0.31	1.79	0.00	28.67	28.67	Private	Bedrock	40.843	*	1212.42	Detect	0.95	223.87	85.43
7.02	494.80	1.54	2.76	0.00	77.45	89.34	Private	Bedrock	*	*	564.99	Below Limit	0.20	206.49	55.48
8.52	198.40	0.22	1.01	0.00	15.70	21.17	Private	Bedrock	126.492	*	1530.39	Below Limit	0.20	24.30	8.95
6.39	95.10	1.82	0.79	0.00	7.80	7.80	Private	Bedrock	76.200	*	1402.41	Below Limit	0.20	20.54	8.50
7.37	207.40	1.52	2.60	0.00	46.50	54.81	Private	Bedrock	91.440	*	2345.26	Detect	0.53	275.97	86.02
7.55	656.20	3.03	4.42	1.71	52.91	52.91	Private	Bedrock	*	*	2319.45	Below Limit	0.20	902.32	231.08
8.14	209.30	0.59	2.93	0.00	49.47	49.47	Private	Bedrock	92.964	*	2652.00	Below Limit	0.20	159.78	0.00
7.36	2932.00	0.41	2.30	1.91	46.07	46.07	Private	Bedrock	*	*	2079.43	Below Limit	0.20	278.95	84.24
7.95	655.20	0.50	3.99	0.00	15.66	15.66	Private	Bedrock	36.576	*	1289.45	Below Limit	0.20	39.65	13.83
8.10	253.90	0.30	3.10	1.76	40.74	40.75	Private	Bedrock	55.778	*	704.54	Below Limit	0.20	189.27	50.47
6.91	801.90	4.73	3.46	7.63	66.18	66.59	Private	Bedrock	*	*	534.73	Below Limit	0.20	624.61	280.68
7.56	516.10	0.51	6.04	0.00	50.21	50.21	Private	Bedrock	42.672	*	1953.26	Detect	2.44	798.59	244.47
7.15	482.60	3.43	0.48	0.00	7.17	7.17	Private	Bedrock	159.410	*	3073.95	Below Limit	0.20	93.88	30.29
7.82	573.60	2.00	2.06	0.00	39.18	39.18	Private	Bedrock	*	*	3758.84	Below Limit	0.20	164.77	59.92
8.67	213.00	2.45	3.85	0.00	57.58	77.19	Private	Bedrock	115.824	*	852.40	Below Limit	0.20	1425.35	457.19
7.17	275.60	4.31	1.71	0.00	28.03	29.14	Private	Bedrock	76.200	*	1846.88	Below Limit	0.20	109.21	38.65
8.49	163.50	8.00	1.12	0.00	6.82	18.41	Private	Bedrock	*	*	2761.02	Below Limit	0.20	8.00	8.00
7.15	142.40	0.34	2.29	0.00	42.22	42.22	Private	Bedrock	54.864	*	3660.18	Below Limit	0.20	102.06	32.36
8.12	217.60	0.36	1.85	0.00	13.69	14.38	Private	Bedrock	91.440	*	4464.04	Below Limit	0.20	62.74	19.03
8.48	299.70	0.10	1.39	0.00	20.77	20.77	Private	Bedrock	137.160	*	4326.18	Below Limit	0.20	77.37	28.13
7.07	418.40	2.95	3.00	0.00	36.38	36.38	Private	Bedrock	43.282	*	1748.02	Below Limit	0.20	99.49	33.16
7.87	209.30	3.29	0.81	0.00	7.29	15.61	Private	Bedrock	103.632	*	1643.68	Detect	0.31	18.76	7.25
9.46	238.30	7.76	0.72	0.00	6.75	6.75	Private	Bedrock	129.235	*	3060.33	Below Limit	0.20	23.52	7.13
