T	SALES	RESIDUAL
1	4.8	0.1029
2	4.0	-4.9928
3	5.5	-7.7884
4	15.6	-1.9840
5	23.1	1.2203
6	23.3	-2.8753
7	31.4	0.9291
8	46.0	11.2334
9	46.1	7.0378
10	41.9	-1.4578
11	45.5	-2.1534
12	53.5	1.5509
13	48.4	-7.8447
14	61.6	1.0597
15	65.6	0.7640
16	71.4	2.2684
17	83.4	9.9728
18	93.6	15.8771
19	94.2	12.1815
20	85.4	-0.9141
21	86.2	-4.4097
22	89.9	-5.0054
23	89.2	-10.0010
24	99.1	-4.3966
25	100.3	-7.4923
26	111.7	-0.3879
27	108.2	-8.1835
28	115.5	-5.1792
29	119.2	-5.7748
30	125.2	-4.0704
31	136.3	2.7339
32	146.8	8.9383
33	146.1	3.9427
34	151.4	4.9471
35	150.9	0.1514
