TEMP	MOLE	OXYDIFF
1000	0.0022	1.68
1000	0.0170	1.69
1000	0.0800	1.72
1100	0.0022	1.98
1100	0.0170	1.99
1100	0.0800	2.02
1200	0.0022	2.30
1200	0.0170	2.31
1200	0.0800	2.35
1300	0.0022	2.64
1300	0.0170	2.65
1300	0.0800	2.70
1400	0.0022	3.00
1400	0.0170	3.01
1400	0.0800	3.06
1500	0.0022	3.38
1500	0.0170	3.39
1500	0.0800	3.45
1600	0.0022	3.78
1600	0.0170	3.79
1600	0.0800	3.85
1700	0.0022	4.19
1700	0.0170	4.21
1700	0.0800	4.27
1800	0.0022	4.63
1800	0.0170	4.64
1800	0.0800	4.71
