RNA	MNSOD	PLD		X1	Y	X2	X1SQ	X1X2	X1SQX2
0.00	401	80		0.00	401	1	0.0000	0.00	0.0000
0.00	336	83		0.00	336	1	0.0000	0.00	0.0000
0.00	337	75		0.00	337	1	0.0000	0.00	0.0000
0.33	711	132		0.33	711	1	0.1089	0.33	0.1089
0.33	637	148		0.33	637	1	0.1089	0.33	0.1089
0.33	602	115		0.33	602	1	0.1089	0.33	0.1089
0.50	985	147		0.50	985	1	0.2500	0.50	0.2500
0.50	650	142		0.50	650	1	0.2500	0.50	0.2500
0.50	747	146		0.50	747	1	0.2500	0.50	0.2500
0.67	904	146		0.67	904	1	0.4489	0.67	0.4489
0.67	1007	150		0.67	1007	1	0.4489	0.67	0.4489
0.67	1047	184		0.67	1047	1	0.4489	0.67	0.4489
0.80	1151	173		0.80	1151	1	0.6400	0.80	0.6400
0.80	1098	201		0.80	1098	1	0.6400	0.80	0.6400
0.80	1061	181		0.80	1061	1	0.6400	0.80	0.6400
1.00	1261	193		1.00	1261	1	1.0000	1.00	1.0000
1.00	1272	187		1.00	1272	1	1.0000	1.00	1.0000
1.00	1256	199		1.00	1256	1	1.0000	1.00	1.0000
				0.00	80	0	0.0000	0.00	0.0000
				0.00	83	0	0.0000	0.00	0.0000
				0.00	75	0	0.0000	0.00	0.0000
				0.33	132	0	0.1089	0.00	0.0000
				0.33	148	0	0.1089	0.00	0.0000
				0.33	115	0	0.1089	0.00	0.0000
				0.50	147	0	0.2500	0.00	0.0000
				0.50	142	0	0.2500	0.00	0.0000
				0.50	146	0	0.2500	0.00	0.0000
				0.67	146	0	0.4489	0.00	0.0000
				0.67	150	0	0.4489	0.00	0.0000
				0.67	184	0	0.4489	0.00	0.0000
				0.80	173	0	0.6400	0.00	0.0000
				0.80	201	0	0.6400	0.00	0.0000
				0.80	181	0	0.6400	0.00	0.0000
				1.00	193	0	1.0000	0.00	0.0000
				1.00	187	0	1.0000	0.00	0.0000
				1.00	199	0	1.0000	0.00	0.0000
